Institute Name,CourseName,Followers,type,Location,Day,Reach
prsoftwares,full stack development,3391.0,post,hyderabad,sunday,low
naresh i technologies,"aws,devops",54368.0,post,hyderabad,monday,low
naresh i technologies,"azure,devops",54368.0,post,hyderabad,saturday,low
social prachar,"aws,devops",54368.0,reel,hyderabad,saturday,low
naresh i technologies,"aws,devops",54368.0,post,hyderabad,thursday,low
naresh i technologies,"azure,devops",54368.0,post,hyderabad,sunday,low
naresh i technologies,"aws,devops",54368.0,post,hyderabad,wednesday,low
naresh i technologies,"aws,devops",54368.0,post,hyderabad,tuesday,high
naresh i technologies,"azure,devops",54368.0,post,hyderabad,tuesday,low
social prachar,gcp,10226.0,post,hyderabad,tuesday,high
naresh i technologies,"aws,devops",54368.0,reel,hyderabad,sunday,low
naresh i technologies,"aws,devops",54368.0,post,hyderabad,friday,low
naresh i technologies,"aws,devops",54368.0,post,hyderabad,saturday,low
naresh i technologies,"azure,devops",54368.0,post,hyderabad,saturday,low
naresh i technologies,ds,54368.0,post,hyderabad,monday,low
naresh i technologies,"aws,devops",10226.0,reel,hyderabad,saturday,high
naresh i technologies,"aws,devops",54368.0,post,hyderabad,wednesday,low
naresh i technologies,ds,54368.0,post,hyderabad,saturday,low
social prachar,"azure,devops",54368.0,post,hyderabad,saturday,low
naresh i technologies,"aws,devops",54368.0,post,hyderabad,tuesday,low
naresh i technologies,"azure,devops",54368.0,post,hyderabad,tuesday,low
naresh i technologies,"aws,devops",10226.0,post,hyderabad,thursday,low
naresh i technologies,"azure,devops",54368.0,post,hyderabad,thursday,low
naresh i technologies,gcp,54368.0,post,hyderabad,thursday,low
naresh i technologies,"azure,devops",54368.0,post,hyderabad,monday,high
naresh i technologies,"aws,devops",54368.0,post,hyderabad,thursday,low
social prachar,"aws,devops",54368.0,post,hyderabad,tuesday,low
naresh i technologies,"aws,devops",54368.0,post,hyderabad,saturday,low
naresh i technologies,"aws,devops",54368.0,post,hyderabad,thursday,low
naresh i technologies,dataskills,10226.0,post,hyderabad,saturday,low
naresh i technologies,"aws,devops",54368.0,reel,hyderabad,monday,low
naresh i technologies,"azure,devops",54368.0,post,hyderabad,monday,low
naresh i technologies,gcp,54368.0,post,hyderabad,monday,low
naresh i technologies,gcp,54368.0,post,hyderabad,sunday,low
social prachar,"aws,devops",54368.0,post,hyderabad,sunday,low
naresh i technologies,dataskills,54368.0,post,hyderabad,sunday,low
naresh i technologies,"aws,devops",54368.0,post,hyderabad,thursday,low
